Time,Treatment,Replicate,Cfu,Antibiotic_present,Donor,Resistant_focal_strain
168,Community human donor 1,4,1,no,Human donor 1,no
0,Community human donor 1,5,419000,no,Human donor 1,no
2,Community human donor 1,5,31840000,no,Human donor 1,no
24,Community human donor 1,5,56000000,no,Human donor 1,no
48,Community human donor 1,5,82000000,no,Human donor 1,no
72,Community human donor 1,5,1,no,Human donor 1,no
96,Community human donor 1,5,1,no,Human donor 1,no
120,Community human donor 1,5,1,no,Human donor 1,no
144,Community human donor 1,5,1,no,Human donor 1,no
168,Community human donor 1,5,1,no,Human donor 1,no
0,Community human donor 1,6,678000,no,Human donor 1,no
2,Community human donor 1,6,31680000,no,Human donor 1,no
24,Community human donor 1,6,60000000,no,Human donor 1,no
48,Community human donor 1,6,41400000,no,Human donor 1,no
72,Community human donor 1,6,28440000,no,Human donor 1,no
96,Community human donor 1,6,120000,no,Human donor 1,no
120,Community human donor 1,6,1,no,Human donor 1,no
144,Community human donor 1,6,1,no,Human donor 1,no
168,Community human donor 1,6,1,no,Human donor 1,no
0,Community human donor 1 + Amp,4,624000,yes,Human donor 1,no
2,Community human donor 1 + Amp,4,33840000,yes,Human donor 1,no
24,Community human donor 1 + Amp,4,20000,yes,Human donor 1,no
48,Community human donor 1 + Amp,4,1,yes,Human donor 1,no
72,Community human donor 1 + Amp,4,1,yes,Human donor 1,no
96,Community human donor 1 + Amp,4,1,yes,Human donor 1,no
120,Community human donor 1 + Amp,4,1,yes,Human donor 1,no
144,Community human donor 1 + Amp,4,1,yes,Human donor 1,no
168,Community human donor 1 + Amp,4,1,yes,Human donor 1,no
0,Community human donor 1 + Amp,5,299200,yes,Human donor 1,no
2,Community human donor 1 + Amp,5,33280000,yes,Human donor 1,no
24,Community human donor 1 + Amp,5,2670,yes,Human donor 1,no
48,Community human donor 1 + Amp,5,1,yes,Human donor 1,no
72,Community human donor 1 + Amp,5,1,yes,Human donor 1,no
96,Community human donor 1 + Amp,5,1,yes,Human donor 1,no
120,Community human donor 1 + Amp,5,1,yes,Human donor 1,no
144,Community human donor 1 + Amp,5,1,yes,Human donor 1,no
168,Community human donor 1 + Amp,5,1,yes,Human donor 1,no
0,Community human donor 1 + Amp,6,897600,yes,Human donor 1,no
2,Community human donor 1 + Amp,6,41120000,yes,Human donor 1,no
24,Community human donor 1 + Amp,6,1980,yes,Human donor 1,no
48,Community human donor 1 + Amp,6,1,yes,Human donor 1,no
72,Community human donor 1 + Amp,6,1,yes,Human donor 1,no
96,Community human donor 1 + Amp,6,1,yes,Human donor 1,no
120,Community human donor 1 + Amp,6,1,yes,Human donor 1,no
144,Community human donor 1 + Amp,6,1,yes,Human donor 1,no
168,Community human donor 1 + Amp,6,1,yes,Human donor 1,no
0,Sterile slurry human donor 2,1,553600,no,Human donor 2,no
2,Sterile slurry human donor 2,1,19520000,no,Human donor 2,no
24,Sterile slurry human donor 2,1,134400000,no,Human donor 2,no
48,Sterile slurry human donor 2,1,190400000,no,Human donor 2,no
72,Sterile slurry human donor 2,1,89400000,no,Human donor 2,no
96,Sterile slurry human donor 2,1,124400000,no,Human donor 2,no
120,Sterile slurry human donor 2,1,59600000,no,Human donor 2,no
144,Sterile slurry human donor 2,1,171200000,no,Human donor 2,no
168,Sterile slurry human donor 2,1,198000000,no,Human donor 2,no
0,Sterile slurry human donor 2,2,284800,no,Human donor 2,no
2,Sterile slurry human donor 2,2,21560000,no,Human donor 2,no
24,Sterile slurry human donor 2,2,144000000,no,Human donor 2,no
48,Sterile slurry human donor 2,2,180000000,no,Human donor 2,no
72,Sterile slurry human donor 2,2,76800000,no,Human donor 2,no
96,Sterile slurry human donor 2,2,110580000,no,Human donor 2,no
120,Sterile slurry human donor 2,2,48000000,no,Human donor 2,no
144,Sterile slurry human donor 2,2,152000000,no,Human donor 2,no
168,Sterile slurry human donor 2,2,244800000,no,Human donor 2,no
0,Sterile slurry human donor 2,3,404800,no,Human donor 2,no
2,Sterile slurry human donor 2,3,19680000,no,Human donor 2,no
24,Sterile slurry human donor 2,3,194400000,no,Human donor 2,no
