Isolate,Replicate,Conc_Amp_ug/ml,OD
Human donor 1 community-free+amp 3,2,8,0.418599993
Human donor 1 community-free+amp 3,3,8,0.426999986
Human donor 1 community-free+amp 3,1,16,0.047899999
Human donor 1 community-free+amp 3,2,16,0.0491
Human donor 1 community-free+amp 3,3,16,0.0484
Human donor 1 community-free+amp 3,1,20,0.046599999
Human donor 1 community-free+amp 3,2,20,0.047400001
Human donor 1 community-free+amp 3,3,20,0.047400001
Human donor 1 community-free+amp 3,1,26,0.046999998
Human donor 1 community-free+amp 3,2,26,0.046999998
Human donor 1 community-free+amp 3,3,26,0.0471
Human donor 1 community-free+amp 3,1,30,0.0473
Human donor 1 community-free+amp 3,2,30,0.047600001
Human donor 1 community-free+amp 3,3,30,0.047800001
Human donor 1 community-free+amp 3,1,60,0.046700001
Human donor 1 community-free+amp 3,2,60,0.0469
Human donor 1 community-free+amp 3,3,60,0.047499999
Human donor 3 community-free+amp 1,1,0,0.674399972
Human donor 3 community-free+amp 1,2,0,0.707400024
Human donor 3 community-free+amp 1,3,0,0.753199995
Human donor 3 community-free+amp 1,1,4,0.665300012
Human donor 3 community-free+amp 1,2,4,0.681900024
Human donor 3 community-free+amp 1,3,4,0.782899976
Human donor 3 community-free+amp 1,1,8,0.595200002
Human donor 3 community-free+amp 1,2,8,0.630500019
Human donor 3 community-free+amp 1,3,8,0.72329998
Human donor 3 community-free+amp 1,1,16,0.351300001
Human donor 3 community-free+amp 1,2,16,0.345600009
Human donor 3 community-free+amp 1,3,16,0.390100002
Human donor 3 community-free+amp 1,1,20,0.050000001
Human donor 3 community-free+amp 1,2,20,0.050500002
Human donor 3 community-free+amp 1,3,20,0.0506
Human donor 3 community-free+amp 1,1,26,0.048
Human donor 3 community-free+amp 1,2,26,0.048300002
Human donor 3 community-free+amp 1,3,26,0.047800001
Human donor 3 community-free+amp 1,1,30,0.048
Human donor 3 community-free+amp 1,2,30,0.049400002
Human donor 3 community-free+amp 1,3,30,0.049400002
Human donor 3 community-free+amp 1,1,60,0.048500001
Human donor 3 community-free+amp 1,2,60,0.048500001
Human donor 3 community-free+amp 1,3,60,0.049600001
Human donor 3 community-free+amp 2,1,0,0.66960001
Human donor 3 community-free+amp 2,2,0,0.706700027
Human donor 3 community-free+amp 2,3,0,0.749599993
Human donor 3 community-free+amp 2,1,4,0.675999999
Human donor 3 community-free+amp 2,2,4,0.624899983
Human donor 3 community-free+amp 2,3,4,0.641900003
Human donor 3 community-free+amp 2,1,8,0.546800017
Human donor 3 community-free+amp 2,2,8,0.492199987
Human donor 3 community-free+amp 2,3,8,0.528800011
Human donor 3 community-free+amp 2,1,16,0.127599999
Human donor 3 community-free+amp 2,2,16,0.094599999
Human donor 3 community-free+amp 2,3,16,0.253399998
